"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 11:59:38 UTC 2025","Thu Aug 14 11:59:54 UTC 2025","15718","src.tests","test_04_flight","TestFlights","","","test_toggles_buttons_expand_and_collapse",""
"passed","Thu Aug 14 12:04:22 UTC 2025","Thu Aug 14 12:04:57 UTC 2025","35543","src.tests","test_04_flight","TestFlights","","","Verifying report history list functionality",""
"passed","Thu Aug 14 11:42:46 UTC 2025","Thu Aug 14 11:42:46 UTC 2025","687","src.tests","test_01_login","TestLogin","","","Login with invalid credentials",""
"passed","Thu Aug 14 12:03:17 UTC 2025","Thu Aug 14 12:03:33 UTC 2025","15200","src.tests","test_04_flight","TestFlights","","","Verifying page views functionality",""
"passed","Thu Aug 14 11:50:11 UTC 2025","Thu Aug 14 11:50:28 UTC 2025","16890","src.tests","test_03_credentials","TestCredentials","","","verifying the no of the cards",""
"failed","Thu Aug 14 11:55:49 UTC 2025","Thu Aug 14 11:56:05 UTC 2025","16319","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[airline]",""
"failed","Thu Aug 14 11:49:02 UTC 2025","Thu Aug 14 11:49:20 UTC 2025","17897","src.tests","test_02_dashboard","TestDashBoard","","","Dashboard load time performance benchmark","Measure and validate dashboard load times"
"passed","Thu Aug 14 12:03:35 UTC 2025","Thu Aug 14 12:03:51 UTC 2025","15846","src.tests","test_04_flight","TestFlights","","","Verifying download invoice history list functionality",""
"broken","Thu Aug 14 12:00:16 UTC 2025","Thu Aug 14 12:00:49 UTC 2025","33693","src.tests","test_04_flight","TestFlights","","","contains filter functionality",""
"passed","Thu Aug 14 12:01:40 UTC 2025","Thu Aug 14 12:02:26 UTC 2025","46447","src.tests","test_04_flight","TestFlights","","","Verifying group by filter feature functionality",""
"passed","Thu Aug 14 11:50:31 UTC 2025","Thu Aug 14 11:50:47 UTC 2025","16261","src.tests","test_03_credentials","TestCredentials","","","verifying the label name the cards",""
"skipped","Thu Aug 14 12:00:52 UTC 2025","Thu Aug 14 12:00:52 UTC 2025","1","src.tests","test_04_flight","TestFlights","","","all filter functionality",""
"passed","Thu Aug 14 11:54:05 UTC 2025","Thu Aug 14 11:54:21 UTC 2025","16095","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[airline]",""
"failed","Thu Aug 14 11:55:10 UTC 2025","Thu Aug 14 11:55:26 UTC 2025","16012","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[gst]",""
"passed","Thu Aug 14 11:43:27 UTC 2025","Thu Aug 14 11:43:50 UTC 2025","23207","src.tests","test_02_dashboard","TestDashBoard","","","All key widgets and UI elements are visible on dashboard",""
"passed","Thu Aug 14 11:43:04 UTC 2025","Thu Aug 14 11:43:21 UTC 2025","16841","src.tests","test_02_dashboard","TestDashBoard","","","Login with invalid credentials",""
"skipped","Thu Aug 14 11:56:08 UTC 2025","Thu Aug 14 11:56:30 UTC 2025","22044","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[email]",""
