"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 25 13:53:38 UTC 2025","Mon Aug 25 13:54:01 UTC 2025","22854","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[email]",""
"passed","Mon Aug 25 13:58:02 UTC 2025","Mon Aug 25 13:58:20 UTC 2025","17515","src.tests","test_04_flight","TestFlights","","","test_column_toggle_checkbox_reflects_in_table_headings",""
"broken","Mon Aug 25 14:04:13 UTC 2025","Mon Aug 25 14:04:39 UTC 2025","25812","src.tests","test_04_flight","TestFlights","","","Verifying table_headers_deselecting_functionality",""
"passed","Mon Aug 25 14:03:15 UTC 2025","Mon Aug 25 14:03:50 UTC 2025","35249","src.tests","test_04_flight","TestFlights","","","Verifying report history list functionality",""
"passed","Mon Aug 25 13:44:14 UTC 2025","Mon Aug 25 13:45:23 UTC 2025","69618","src.tests","test_02_dashboard","TestDashBoard","","","Verify all custom dropdowns under filters have values",""
"skipped","Mon Aug 25 13:51:00 UTC 2025","Mon Aug 25 13:51:43 UTC 2025","42787","src.tests","test_03_credentials","TestCredentials","","","verifying the email table heading label name",""
"broken","Mon Aug 25 13:42:25 UTC 2025","Mon Aug 25 13:42:46 UTC 2025","20720","src.tests","test_02_dashboard","TestDashBoard","","","Login with invalid credentials",""
"failed","Mon Aug 25 13:59:52 UTC 2025","Mon Aug 25 14:00:15 UTC 2025","22595","src.tests","test_04_flight","TestFlights","","","verifying columns sorting functionality",""
"passed","Mon Aug 25 13:41:48 UTC 2025","Mon Aug 25 13:42:01 UTC 2025","12738","src.tests","test_01_login","TestLogin","","","Login with valid credentials",""
"passed","Mon Aug 25 14:02:21 UTC 2025","Mon Aug 25 14:02:45 UTC 2025","24336","src.tests","test_04_flight","TestFlights","","","Verifying download invoice history list functionality",""
"passed","Mon Aug 25 13:52:58 UTC 2025","Mon Aug 25 13:53:15 UTC 2025","16871","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[gst]",""
"passed","Mon Aug 25 13:47:38 UTC 2025","Mon Aug 25 13:48:26 UTC 2025","47757","src.tests","test_02_dashboard","TestDashBoard","","","Scroll down dashboard page till the end",""
"broken","Mon Aug 25 13:52:04 UTC 2025","Mon Aug 25 13:52:29 UTC 2025","24662","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[airline]",""
"passed","Mon Aug 25 13:42:52 UTC 2025","Mon Aug 25 13:43:14 UTC 2025","21991","src.tests","test_02_dashboard","TestDashBoard","","","All key widgets and UI elements are visible on dashboard",""
"passed","Mon Aug 25 13:54:04 UTC 2025","Mon Aug 25 13:54:19 UTC 2025","15210","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[gst]",""
"passed","Mon Aug 25 13:58:23 UTC 2025","Mon Aug 25 13:58:36 UTC 2025","13619","src.tests","test_04_flight","TestFlights","","","test_toggles_buttons_expand_and_collapse",""
"passed","Mon Aug 25 14:01:05 UTC 2025","Mon Aug 25 14:01:50 UTC 2025","45215","src.tests","test_04_flight","TestFlights","","","Verifying aggregate group filter feature functionality",""
"skipped","Mon Aug 25 13:55:00 UTC 2025","Mon Aug 25 13:55:23 UTC 2025","22887","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[email]",""
"skipped","Mon Aug 25 13:48:49 UTC 2025","Mon Aug 25 13:48:49 UTC 2025","1","src.tests","test_02_dashboard","TestDashBoard","","","Network error handling and user feedback","Test UI behavior during network failures"
"skipped","Mon Aug 25 13:59:34 UTC 2025","Mon Aug 25 13:59:34 UTC 2025","1","src.tests","test_04_flight","TestFlights","","","all filter functionality",""
"broken","Mon Aug 25 14:05:08 UTC 2025","Mon Aug 25 14:05:31 UTC 2025","23602","src.tests","test_04_flight","TestFlights","","","Verifying table_headers_aggregate_functionality",""
"passed","Mon Aug 25 13:54:41 UTC 2025","Mon Aug 25 13:54:57 UTC 2025","16264","src.tests","test_03_credentials","TestCredentials","","","test_table_header_drag_and_drop[airline]",""
"passed","Mon Aug 25 13:55:45 UTC 2025","Mon Aug 25 13:56:19 UTC 2025","34748","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"passed","Mon Aug 25 13:55:26 UTC 2025","Mon Aug 25 13:55:42 UTC 2025","15960","src.tests","test_03_credentials","TestCredentials","","","Validate risk amount calculations for Airline & SSR",""
"passed","Mon Aug 25 13:58:39 UTC 2025","Mon Aug 25 13:58:55 UTC 2025","16459","src.tests","test_04_flight","TestFlights","","","Scroll down dashboard page till the end",""
"passed","Mon Aug 25 13:42:07 UTC 2025","Mon Aug 25 13:42:07 UTC 2025","633","src.tests","test_01_login","TestLogin","","","Login with invalid credentials",""
"passed","Mon Aug 25 13:59:36 UTC 2025","Mon Aug 25 13:59:50 UTC 2025","13455","src.tests","test_04_flight","TestFlights","","","Verifying drag and drop functionality between columns",""
