"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19835","test_toggle_buttons_expand_and_collapse[email]","src.tests","Tue Aug 05 10:53:51 IST 2025","skipped","Tue Aug 05 10:54:11 IST 2025","TestCredentials","test_03_credentials","",""
"","1693","Redirect to login if not authenticated","src.tests","Tue Aug 05 10:42:05 IST 2025","passed","Tue Aug 05 10:42:06 IST 2025","TestDashBoard","test_02_dashboard","",""
"","10137","All Modules are visible on dashboard","src.tests","Tue Aug 05 10:42:31 IST 2025","passed","Tue Aug 05 10:42:41 IST 2025","TestDashBoard","test_02_dashboard","",""
"","14010","test_table_header_drag_and_drop[gst]","src.tests","Tue Aug 05 10:55:55 IST 2025","passed","Tue Aug 05 10:56:09 IST 2025","TestCredentials","test_03_credentials","",""
"","21455","Login and logout","src.tests","Tue Aug 05 10:41:18 IST 2025","broken","Tue Aug 05 10:41:39 IST 2025","TestLogin","test_01_login","",""
"","16516","test_column_toggle_checkbox_reflects_in_table_headings[airline]","src.tests","Tue Aug 05 10:54:57 IST 2025","passed","Tue Aug 05 10:55:13 IST 2025","TestCredentials","test_03_credentials","",""
"Measure and validate dashboard load times","21091","Dashboard load time performance benchmark","src.tests","Tue Aug 05 10:49:23 IST 2025","broken","Tue Aug 05 10:49:44 IST 2025","TestDashBoard","test_02_dashboard","",""
"","13790","test_table_header_drag_and_drop[airline]","src.tests","Tue Aug 05 10:56:13 IST 2025","passed","Tue Aug 05 10:56:27 IST 2025","TestCredentials","test_03_credentials","",""
"","11901","verifying the label name the cards","src.tests","Tue Aug 05 10:51:00 IST 2025","passed","Tue Aug 05 10:51:12 IST 2025","TestCredentials","test_03_credentials","",""
"","13590","Verify top horizontal modules as per client config","src.tests","Tue Aug 05 10:43:02 IST 2025","passed","Tue Aug 05 10:43:15 IST 2025","TestDashBoard","test_02_dashboard","",""
"","16678","test_column_toggle_checkbox_reflects_in_table_headings[gst]","src.tests","Tue Aug 05 10:54:26 IST 2025","passed","Tue Aug 05 10:54:42 IST 2025","TestCredentials","test_03_credentials","",""
"","117307","Verify transaction value changes when selecting options in all filter dropdowns","src.tests","Tue Aug 05 10:46:22 IST 2025","passed","Tue Aug 05 10:48:20 IST 2025","TestDashBoard","test_02_dashboard","",""
"","509","Login with empty username","src.tests","Tue Aug 05 10:41:02 IST 2025","passed","Tue Aug 05 10:41:02 IST 2025","TestLogin","test_01_login","",""
"","46749","test_column_toggle_checkbox_reflects_in_table_headings","src.tests","Tue Aug 05 10:57:38 IST 2025","passed","Tue Aug 05 10:58:25 IST 2025","TestFlights","test_04_flight","",""
"","523","Login with invalid credentials","src.tests","Tue Aug 05 10:41:12 IST 2025","passed","Tue Aug 05 10:41:12 IST 2025","TestLogin","test_01_login","",""
"","16457","verifying the airline table heading label name","src.tests","Tue Aug 05 10:52:04 IST 2025","passed","Tue Aug 05 10:52:20 IST 2025","TestCredentials","test_03_credentials","",""
"","14370","Login with invalid credentials","src.tests","Tue Aug 05 10:41:45 IST 2025","passed","Tue Aug 05 10:42:00 IST 2025","TestDashBoard","test_02_dashboard","",""
